sku,product_line,line_code,garment,gender,cut,size,size_label,color_code,color_name,name,channel,unit_cost,unit_price,active
ZCCTW-LS-S-RR,ZavaCore Field Core,C,Top,Womens,LS,S,Small,RR,Deep Red/Red,Core Womens LS Top Small Deep Red/Red,B2C,14.23,33.89,true
ZCCTW-LS-S-T0,ZavaCore Field Core,C,Top,Womens,LS,S,Small,T0,Teal/Orange,Core Womens LS Top Small Teal/Orange,B2C,14.56,34.66,true
ZCCTW-SS-M-B0,ZavaCore Field Core,C,Top,Womens,SS,M,Medium,B0,Black/Orange,Core Womens SS Top Medium Black/Orange,B2C,14.66,34.9,true
ZCCTW-SS-M-CS,ZavaCore Field Core,C,Top,Womens,SS,M,Medium,CS,Charcoal/Silver,Core Womens SS Top Medium Charcoal/Silver,B2C,14.14,33.66,true
ZCCTW-LS-M-RR,ZavaCore Field Core,C,Top,Womens,LS,M,Medium,RR,Deep Red/Red,Core Womens LS Top Medium Deep Red/Red,B2C,15.02,35.77,true
ZCCTW-LS-M-T0,ZavaCore Field Core,C,Top,Womens,LS,M,Medium,T0,Teal/Orange,Core Womens LS Top Medium Teal/Orange,B2C,14.78,35.19,true
ZCCTW-SS-L-B0,ZavaCore Field Core,C,Top,Womens,SS,L,Large,B0,Black/Orange,Core Womens SS Top Large Black/Orange,B2C,15.64,37.23,true
ZCCTW-SS-L-CS,ZavaCore Field Core,C,Top,Womens,SS,L,Large,CS,Charcoal/Silver,Core Womens SS Top Large Charcoal/Silver,B2C,15.72,37.42,true
ZCCTW-LS-L-RR,ZavaCore Field Core,C,Top,Womens,LS,L,Large,RR,Deep Red/Red,Core Womens LS Top Large Deep Red/Red,B2C,15.58,37.09,true
ZCCTW-LS-L-T0,ZavaCore Field Core,C,Top,Womens,LS,L,Large,T0,Teal/Orange,Core Womens LS Top Large Teal/Orange,B2C,15.73,37.46,true
ZCCTW-SS-XL-B0,ZavaCore Field Core,C,Top,Womens,SS,XL,XL,B0,Black/Orange,Core Womens SS Top XL Black/Orange,B2C,14.94,35.58,true
ZCCTW-SS-XL-CS,ZavaCore Field Core,C,Top,Womens,SS,XL,XL,CS,Charcoal/Silver,Core Womens SS Top XL Charcoal/Silver,B2C,15.07,35.87,true
ZCCTW-LS-XL-RR,ZavaCore Field Core,C,Top,Womens,LS,XL,XL,RR,Deep Red/Red,Core Womens LS Top XL Deep Red/Red,B2C,15.53,36.97,true
ZCCTW-LS-XL-T0,ZavaCore Field Core,C,Top,Womens,LS,XL,XL,T0,Teal/Orange,Core Womens LS Top XL Teal/Orange,B2C,15.66,37.29,true
ZCCTY-SS-S-B0,ZavaCore Field Core,C,Top,Youth,SS,S,Small,B0,Black/Orange,Core Youth SS Top Small Black/Orange,B2C,13.04,31.04,true
ZCCTY-SS-S-CS,ZavaCore Field Core,C,Top,Youth,SS,S,Small,CS,Charcoal/Silver,Core Youth SS Top Small Charcoal/Silver,B2C,12.63,30.08,true
ZCCTY-LS-S-RR,ZavaCore Field Core,C,Top,Youth,LS,S,Small,RR,Deep Red/Red,Core Youth LS Top Small Deep Red/Red,B2C,13.31,31.68,true
ZCCTY-LS-S-T0,ZavaCore Field Core,C,Top,Youth,LS,S,Small,T0,Teal/Orange,Core Youth LS Top Small Teal/Orange,B2C,12.89,30.69,true
ZCCTY-SS-M-B0,ZavaCore Field Core,C,Top,Youth,SS,M,Medium,B0,Black/Orange,Core Youth SS Top Medium Black/Orange,B2C,12.97,30.87,true
ZCCTY-SS-M-CS,ZavaCore Field Core,C,Top,Youth,SS,M,Medium,CS,Charcoal/Silver,Core Youth SS Top Medium Charcoal/Silver,B2C,12.28,29.23,true
ZCCTY-LS-M-RR,ZavaCore Field Core,C,Top,Youth,LS,M,Medium,RR,Deep Red/Red,Core Youth LS Top Medium Deep Red/Red,B2C,12.96,30.85,true
ZCCTY-LS-M-T0,ZavaCore Field Core,C,Top,Youth,LS,M,Medium,T0,Teal/Orange,Core Youth LS Top Medium Teal/Orange,B2C,12.76,30.38,true
ZCCTY-SS-L-B0,ZavaCore Field Core,C,Top,Youth,SS,L,Large,B0,Black/Orange,Core Youth SS Top Large Black/Orange,B2C,13.0,30.96,true
ZCCTY-SS-L-CS,ZavaCore Field Core,C,Top,Youth,SS,L,Large,CS,Charcoal/Silver,Core Youth SS Top Large Charcoal/Silver,B2C,12.57,29.94,true
ZCCTY-LS-L-RR,ZavaCore Field Core,C,Top,Youth,LS,L,Large,RR,Deep Red/Red,Core Youth LS Top Large Deep Red/Red,B2C,13.22,31.48,true
ZCCTY-LS-L-T0,ZavaCore Field Core,C,Top,Youth,LS,L,Large,T0,Teal/Orange,Core Youth LS Top Large Teal/Orange,B2C,11.92,28.39,true
ZCCTY-SS-XL-B0,ZavaCore Field Core,C,Top,Youth,SS,XL,XL,B0,Black/Orange,Core Youth SS Top XL Black/Orange,B2C,13.43,31.98,true
ZCCTY-SS-XL-CS,ZavaCore Field Core,C,Top,Youth,SS,XL,XL,CS,Charcoal/Silver,Core Youth SS Top XL Charcoal/Silver,B2C,13.38,31.85,true
ZCCTY-LS-XL-RR,ZavaCore Field Core,C,Top,Youth,LS,XL,XL,RR,Deep Red/Red,Core Youth LS Top XL Deep Red/Red,B2C,13.37,31.83,true
ZCCTY-LS-XL-T0,ZavaCore Field Core,C,Top,Youth,LS,XL,XL,T0,Teal/Orange,Core Youth LS Top XL Teal/Orange,B2C,12.99,30.94,true
ZCCSM-AS-S-B0,ZavaCore Field Core,C,Shorts,Mens,AS,S,Small,B0,Black/Orange,Core Mens Shorts Small Black/Orange,B2C,12.81,30.49,true
ZCCSM-AS-S-CS,ZavaCore Field Core,C,Shorts,Mens,AS,S,Small,CS,Charcoal/Silver,Core Mens Shorts Small Charcoal/Silver,B2C,13.29,31.65,true
ZCCSM-AS-S-RR,ZavaCore Field Core,C,Shorts,Mens,AS,S,Small,RR,Deep Red/Red,Core Mens Shorts Small Deep Red/Red,B2C,13.06,31.09,true
ZCCSM-AS-S-T0,ZavaCore Field Core,C,Shorts,Mens,AS,S,Small,T0,Teal/Orange,Core Mens Shorts Small Teal/Orange,B2C,13.33,31.74,true
ZCCSM-AS-M-B0,ZavaCore Field Core,C,Shorts,Mens,AS,M,Medium,B0,Black/Orange,Core Mens Shorts Medium Black/Orange,B2C,12.72,30.28,true
ZCCSM-AS-M-CS,ZavaCore Field Core,C,Shorts,Mens,AS,M,Medium,CS,Charcoal/Silver,Core Mens Shorts Medium Charcoal/Silver,B2C,12.69,30.21,true
ZCCSM-AS-M-RR,ZavaCore Field Core,C,Shorts,Mens,AS,M,Medium,RR,Deep Red/Red,Core Mens Shorts Medium Deep Red/Red,B2C,12.39,29.51,true
ZCCSM-AS-M-T0,ZavaCore Field Core,C,Shorts,Mens,AS,M,Medium,T0,Teal/Orange,Core Mens Shorts Medium Teal/Orange,B2C,13.55,32.27,true
ZCCSM-AS-L-B0,ZavaCore Field Core,C,Shorts,Mens,AS,L,Large,B0,Black/Orange,Core Mens Shorts Large Black/Orange,B2C,13.51,32.17,true
ZCCSM-AS-L-CS,ZavaCore Field Core,C,Shorts,Mens,AS,L,Large,CS,Charcoal/Silver,Core Mens Shorts Large Charcoal/Silver,B2C,13.45,32.02,true
ZCCSM-AS-L-RR,ZavaCore Field Core,C,Shorts,Mens,AS,L,Large,RR,Deep Red/Red,Core Mens Shorts Large Deep Red/Red,B2C,12.13,28.88,true
ZCCSM-AS-L-T0,ZavaCore Field Core,C,Shorts,Mens,AS,L,Large,T0,Teal/Orange,Core Mens Shorts Large Teal/Orange,B2C,12.21,29.07,true
ZCCSM-AS-XL-B0,ZavaCore Field Core,C,Shorts,Mens,AS,XL,XL,B0,Black/Orange,Core Mens Shorts XL Black/Orange,B2C,12.12,28.86,true
ZCCSM-AS-XL-CS,ZavaCore Field Core,C,Shorts,Mens,AS,XL,XL,CS,Charcoal/Silver,Core Mens Shorts XL Charcoal/Silver,B2C,12.92,30.76,true
ZCCSM-AS-XL-RR,ZavaCore Field Core,C,Shorts,Mens,AS,XL,XL,RR,Deep Red/Red,Core Mens Shorts XL Deep Red/Red,B2C,12.97,30.88,true
ZCCSM-AS-XL-T0,ZavaCore Field Core,C,Shorts,Mens,AS,XL,XL,T0,Teal/Orange,Core Mens Shorts XL Teal/Orange,B2C,12.38,29.47,true
ZCCSW-AS-S-B0,ZavaCore Field Core,C,Shorts,Womens,AS,S,Small,B0,Black/Orange,Core Womens Shorts Small Black/Orange,B2C,12.04,28.67,true
ZCCSW-AS-S-CS,ZavaCore Field Core,C,Shorts,Womens,AS,S,Small,CS,Charcoal/Silver,Core Womens Shorts Small Charcoal/Silver,B2C,13.54,32.23,true
ZCCSW-AS-S-RR,ZavaCore Field Core,C,Shorts,Womens,AS,S,Small,RR,Deep Red/Red,Core Womens Shorts Small Deep Red/Red,B2C,12.22,29.1,true
ZCCSW-AS-S-T0,ZavaCore Field Core,C,Shorts,Womens,AS,S,Small,T0,Teal/Orange,Core Womens Shorts Small Teal/Orange,B2C,13.06,31.09,true
ZCCSW-AS-M-B0,ZavaCore Field Core,C,Shorts,Womens,AS,M,Medium,B0,Black/Orange,Core Womens Shorts Medium Black/Orange,B2C,13.23,31.5,true
ZCCSW-AS-M-CS,ZavaCore Field Core,C,Shorts,Womens,AS,M,Medium,CS,Charcoal/Silver,Core Womens Shorts Medium Charcoal/Silver,B2C,13.1,31.19,true
ZCCSW-AS-M-RR,ZavaCore Field Core,C,Shorts,Womens,AS,M,Medium,RR,Deep Red/Red,Core Womens Shorts Medium Deep Red/Red,B2C,12.86,30.63,true
ZCCSW-AS-M-T0,ZavaCore Field Core,C,Shorts,Womens,AS,M,Medium,T0,Teal/Orange,Core Womens Shorts Medium Teal/Orange,B2C,12.93,30.79,true
ZCCSW-AS-L-B0,ZavaCore Field Core,C,Shorts,Womens,AS,L,Large,B0,Black/Orange,Core Womens Shorts Large Black/Orange,B2C,13.41,31.92,true
ZCCSW-AS-L-CS,ZavaCore Field Core,C,Shorts,Womens,AS,L,Large,CS,Charcoal/Silver,Core Womens Shorts Large Charcoal/Silver,B2C,12.44,29.63,true
ZCCSW-AS-L-RR,ZavaCore Field Core,C,Shorts,Womens,AS,L,Large,RR,Deep Red/Red,Core Womens Shorts Large Deep Red/Red,B2C,13.07,31.11,true
ZCCSW-AS-L-T0,ZavaCore Field Core,C,Shorts,Womens,AS,L,Large,T0,Teal/Orange,Core Womens Shorts Large Teal/Orange,B2C,13.26,31.56,true
ZCCSW-AS-XL-B0,ZavaCore Field Core,C,Shorts,Womens,AS,XL,XL,B0,Black/Orange,Core Womens Shorts XL Black/Orange,B2C,12.47,29.69,true
ZCCSW-AS-XL-CS,ZavaCore Field Core,C,Shorts,Womens,AS,XL,XL,CS,Charcoal/Silver,Core Womens Shorts XL Charcoal/Silver,B2C,12.61,30.02,true
ZCCSW-AS-XL-RR,ZavaCore Field Core,C,Shorts,Womens,AS,XL,XL,RR,Deep Red/Red,Core Womens Shorts XL Deep Red/Red,B2C,12.82,30.53,true
ZCCSW-AS-XL-T0,ZavaCore Field Core,C,Shorts,Womens,AS,XL,XL,T0,Teal/Orange,Core Womens Shorts XL Teal/Orange,B2C,12.59,29.97,true
ZCCSY-AS-S-B0,ZavaCore Field Core,C,Shorts,Youth,AS,S,Small,B0,Black/Orange,Core Youth Shorts Small Black/Orange,B2C,10.72,25.52,true
ZCCSY-AS-S-CS,ZavaCore Field Core,C,Shorts,Youth,AS,S,Small,CS,Charcoal/Silver,Core Youth Shorts Small Charcoal/Silver,B2C,10.25,24.4,true
ZCCSY-AS-S-RR,ZavaCore Field Core,C,Shorts,Youth,AS,S,Small,RR,Deep Red/Red,Core Youth Shorts Small Deep Red/Red,B2C,11.08,26.37,true
ZCCSY-AS-S-T0,ZavaCore Field Core,C,Shorts,Youth,AS,S,Small,T0,Teal/Orange,Core Youth Shorts Small Teal/Orange,B2C,10.21,24.31,true
ZCCSY-AS-M-B0,ZavaCore Field Core,C,Shorts,Youth,AS,M,Medium,B0,Black/Orange,Core Youth Shorts Medium Black/Orange,B2C,10.63,25.31,true
ZCCSY-AS-M-CS,ZavaCore Field Core,C,Shorts,Youth,AS,M,Medium,CS,Charcoal/Silver,Core Youth Shorts Medium Charcoal/Silver,B2C,10.8,25.72,true
ZCCSY-AS-M-RR,ZavaCore Field Core,C,Shorts,Youth,AS,M,Medium,RR,Deep Red/Red,Core Youth Shorts Medium Deep Red/Red,B2C,10.87,25.87,true
ZCCSY-AS-M-T0,ZavaCore Field Core,C,Shorts,Youth,AS,M,Medium,T0,Teal/Orange,Core Youth Shorts Medium Teal/Orange,B2C,10.97,26.12,true
ZCCSY-AS-L-B0,ZavaCore Field Core,C,Shorts,Youth,AS,L,Large,B0,Black/Orange,Core Youth Shorts Large Black/Orange,B2C,10.39,24.74,true
ZCCSY-AS-L-CS,ZavaCore Field Core,C,Shorts,Youth,AS,L,Large,CS,Charcoal/Silver,Core Youth Shorts Large Charcoal/Silver,B2C,10.46,24.91,true
ZCCSY-AS-L-RR,ZavaCore Field Core,C,Shorts,Youth,AS,L,Large,RR,Deep Red/Red,Core Youth Shorts Large Deep Red/Red,B2C,10.64,25.34,true
ZCCSY-AS-L-T0,ZavaCore Field Core,C,Shorts,Youth,AS,L,Large,T0,Teal/Orange,Core Youth Shorts Large Teal/Orange,B2C,10.5,25.0,true
ZCCSY-AS-XL-B0,ZavaCore Field Core,C,Shorts,Youth,AS,XL,XL,B0,Black/Orange,Core Youth Shorts XL Black/Orange,B2C,10.94,26.04,true
ZCCSY-AS-XL-CS,ZavaCore Field Core,C,Shorts,Youth,AS,XL,XL,CS,Charcoal/Silver,Core Youth Shorts XL Charcoal/Silver,B2C,10.45,24.87,true
ZCCSY-AS-XL-RR,ZavaCore Field Core,C,Shorts,Youth,AS,XL,XL,RR,Deep Red/Red,Core Youth Shorts XL Deep Red/Red,B2C,10.24,24.37,true
ZCCSY-AS-XL-T0,ZavaCore Field Core,C,Shorts,Youth,AS,XL,XL,T0,Teal/Orange,Core Youth Shorts XL Teal/Orange,B2C,11.47,27.31,true
ZCCPM-AP-S-B0,ZavaCore Field Core,C,Pants,Mens,AP,S,Small,B0,Black/Orange,Core Mens Pants Small Black/Orange,B2C,19.06,45.39,true
ZCCPM-AP-S-CS,ZavaCore Field Core,C,Pants,Mens,AP,S,Small,CS,Charcoal/Silver,Core Mens Pants Small Charcoal/Silver,B2C,19.14,45.58,true
ZCCPM-AP-S-RR,ZavaCore Field Core,C,Pants,Mens,AP,S,Small,RR,Deep Red/Red,Core Mens Pants Small Deep Red/Red,B2C,18.27,43.51,true
ZCCPM-AP-S-T0,ZavaCore Field Core,C,Pants,Mens,AP,S,Small,T0,Teal/Orange,Core Mens Pants Small Teal/Orange,B2C,18.49,44.03,true
ZCCPM-AP-M-B0,ZavaCore Field Core,C,Pants,Mens,AP,M,Medium,B0,Black/Orange,Core Mens Pants Medium Black/Orange,B2C,20.15,47.98,true
ZCCPM-AP-M-CS,ZavaCore Field Core,C,Pants,Mens,AP,M,Medium,CS,Charcoal/Silver,Core Mens Pants Medium Charcoal/Silver,B2C,18.35,43.69,true
ZCCPM-AP-M-RR,ZavaCore Field Core,C,Pants,Mens,AP,M,Medium,RR,Deep Red/Red,Core Mens Pants Medium Deep Red/Red,B2C,18.91,45.03,true
ZCCPM-AP-M-T0,ZavaCore Field Core,C,Pants,Mens,AP,M,Medium,T0,Teal/Orange,Core Mens Pants Medium Teal/Orange,B2C,19.27,45.87,true
ZCCPM-AP-L-B0,ZavaCore Field Core,C,Pants,Mens,AP,L,Large,B0,Black/Orange,Core Mens Pants Large Black/Orange,B2C,18.9,44.99,true
ZCCPM-AP-L-CS,ZavaCore Field Core,C,Pants,Mens,AP,L,Large,CS,Charcoal/Silver,Core Mens Pants Large Charcoal/Silver,B2C,18.8,44.76,true
ZCCPM-AP-L-RR,ZavaCore Field Core,C,Pants,Mens,AP,L,Large,RR,Deep Red/Red,Core Mens Pants Large Deep Red/Red,B2C,19.09,45.46,true
ZCCPM-AP-L-T0,ZavaCore Field Core,C,Pants,Mens,AP,L,Large,T0,Teal/Orange,Core Mens Pants Large Teal/Orange,B2C,18.66,44.43,true
ZCCPM-AP-XL-B0,ZavaCore Field Core,C,Pants,Mens,AP,XL,XL,B0,Black/Orange,Core Mens Pants XL Black/Orange,B2C,18.76,44.66,true
ZCCPM-AP-XL-CS,ZavaCore Field Core,C,Pants,Mens,AP,XL,XL,CS,Charcoal/Silver,Core Mens Pants XL Charcoal/Silver,B2C,19.05,45.35,true
ZCCPM-AP-XL-RR,ZavaCore Field Core,C,Pants,Mens,AP,XL,XL,RR,Deep Red/Red,Core Mens Pants XL Deep Red/Red,B2C,19.91,47.41,true
ZCCPM-AP-XL-T0,ZavaCore Field Core,C,Pants,Mens,AP,XL,XL,T0,Teal/Orange,Core Mens Pants XL Teal/Orange,B2C,19.96,47.52,true
ZCCPW-AP-S-B0,ZavaCore Field Core,C,Pants,Womens,AP,S,Small,B0,Black/Orange,Core Womens Pants Small Black/Orange,B2C,18.52,44.1,true
ZCCPW-AP-S-CS,ZavaCore Field Core,C,Pants,Womens,AP,S,Small,CS,Charcoal/Silver,Core Womens Pants Small Charcoal/Silver,B2C,20.11,47.89,true
ZCCPW-AP-S-RR,ZavaCore Field Core,C,Pants,Womens,AP,S,Small,RR,Deep Red/Red,Core Womens Pants Small Deep Red/Red,B2C,18.96,45.14,true
ZCCPW-AP-S-T0,ZavaCore Field Core,C,Pants,Womens,AP,S,Small,T0,Teal/Orange,Core Womens Pants Small Teal/Orange,B2C,20.32,48.37,true
ZCCPW-AP-M-B0,ZavaCore Field Core,C,Pants,Womens,AP,M,Medium,B0,Black/Orange,Core Womens Pants Medium Black/Orange,B2C,20.03,47.7,true
ZCCPW-AP-M-CS,ZavaCore Field Core,C,Pants,Womens,AP,M,Medium,CS,Charcoal/Silver,Core Womens Pants Medium Charcoal/Silver,B2C,19.34,46.04,true
ZCCPW-AP-M-RR,ZavaCore Field Core,C,Pants,Womens,AP,M,Medium,RR,Deep Red/Red,Core Womens Pants Medium Deep Red/Red,B2C,19.9,47.38,true
ZCCPW-AP-M-T0,ZavaCore Field Core,C,Pants,Womens,AP,M,Medium,T0,Teal/Orange,Core Womens Pants Medium Teal/Orange,B2C,18.22,43.39,true
ZCCPW-AP-L-B0,ZavaCore Field Core,C,Pants,Womens,AP,L,Large,B0,Black/Orange,Core Womens Pants Large Black/Orange,B2C,19.32,46.0,true
ZCCPW-AP-L-CS,ZavaCore Field Core,C,Pants,Womens,AP,L,Large,CS,Charcoal/Silver,Core Womens Pants Large Charcoal/Silver,B2C,19.75,47.03,true
ZCCPW-AP-L-RR,ZavaCore Field Core,C,Pants,Womens,AP,L,Large,RR,Deep Red/Red,Core Womens Pants Large Deep Red/Red,B2C,18.68,44.47,true
ZCCPW-AP-L-T0,ZavaCore Field Core,C,Pants,Womens,AP,L,Large,T0,Teal/Orange,Core Womens Pants Large Teal/Orange,B2C,19.6,46.67,true
ZCCPW-AP-XL-B0,ZavaCore Field Core,C,Pants,Womens,AP,XL,XL,B0,Black/Orange,Core Womens Pants XL Black/Orange,B2C,18.2,43.34,true
ZCCPW-AP-XL-CS,ZavaCore Field Core,C,Pants,Womens,AP,XL,XL,CS,Charcoal/Silver,Core Womens Pants XL Charcoal/Silver,B2C,18.19,43.31,true
ZCCPW-AP-XL-RR,ZavaCore Field Core,C,Pants,Womens,AP,XL,XL,RR,Deep Red/Red,Core Womens Pants XL Deep Red/Red,B2C,18.38,43.75,true
ZCCPW-AP-XL-T0,ZavaCore Field Core,C,Pants,Womens,AP,XL,XL,T0,Teal/Orange,Core Womens Pants XL Teal/Orange,B2C,19.82,47.19,true
ZCCPY-AP-S-B0,ZavaCore Field Core,C,Pants,Youth,AP,S,Small,B0,Black/Orange,Core Youth Pants Small Black/Orange,B2C,16.61,39.55,true
ZCCPY-AP-S-CS,ZavaCore Field Core,C,Pants,Youth,AP,S,Small,CS,Charcoal/Silver,Core Youth Pants Small Charcoal/Silver,B2C,16.32,38.86,true
ZCCPY-AP-S-RR,ZavaCore Field Core,C,Pants,Youth,AP,S,Small,RR,Deep Red/Red,Core Youth Pants Small Deep Red/Red,B2C,16.49,39.26,true
ZCCPY-AP-S-T0,ZavaCore Field Core,C,Pants,Youth,AP,S,Small,T0,Teal/Orange,Core Youth Pants Small Teal/Orange,B2C,15.87,37.78,true
ZCCPY-AP-M-B0,ZavaCore Field Core,C,Pants,Youth,AP,M,Medium,B0,Black/Orange,Core Youth Pants Medium Black/Orange,B2C,15.6,37.14,true
ZCCPY-AP-M-CS,ZavaCore Field Core,C,Pants,Youth,AP,M,Medium,CS,Charcoal/Silver,Core Youth Pants Medium Charcoal/Silver,B2C,15.39,36.65,true
ZCCPY-AP-M-RR,ZavaCore Field Core,C,Pants,Youth,AP,M,Medium,RR,Deep Red/Red,Core Youth Pants Medium Deep Red/Red,B2C,17.07,40.65,true
ZCCPY-AP-M-T0,ZavaCore Field Core,C,Pants,Youth,AP,M,Medium,T0,Teal/Orange,Core Youth Pants Medium Teal/Orange,B2C,16.13,38.4,true
ZCCPY-AP-L-B0,ZavaCore Field Core,C,Pants,Youth,AP,L,Large,B0,Black/Orange,Core Youth Pants Large Black/Orange,B2C,15.38,36.62,true
ZCCPY-AP-L-CS,ZavaCore Field Core,C,Pants,Youth,AP,L,Large,CS,Charcoal/Silver,Core Youth Pants Large Charcoal/Silver,B2C,15.31,36.45,true
ZCCPY-AP-L-RR,ZavaCore Field Core,C,Pants,Youth,AP,L,Large,RR,Deep Red/Red,Core Youth Pants Large Deep Red/Red,B2C,15.46,36.8,true
ZCCPY-AP-L-T0,ZavaCore Field Core,C,Pants,Youth,AP,L,Large,T0,Teal/Orange,Core Youth Pants Large Teal/Orange,B2C,16.46,39.2,true
ZCCPY-AP-XL-B0,ZavaCore Field Core,C,Pants,Youth,AP,XL,XL,B0,Black/Orange,Core Youth Pants XL Black/Orange,B2C,15.92,37.9,true
ZCCPY-AP-XL-CS,ZavaCore Field Core,C,Pants,Youth,AP,XL,XL,CS,Charcoal/Silver,Core Youth Pants XL Charcoal/Silver,B2C,16.53,39.36,true
ZCCPY-AP-XL-RR,ZavaCore Field Core,C,Pants,Youth,AP,XL,XL,RR,Deep Red/Red,Core Youth Pants XL Deep Red/Red,B2C,15.34,36.53,true
ZCCPY-AP-XL-T0,ZavaCore Field Core,C,Pants,Youth,AP,XL,XL,T0,Teal/Orange,Core Youth Pants XL Teal/Orange,B2C,15.92,37.91,true
ZCRTM-SS-S-B0,ZavaCore Field Pro,R,Top,Mens,SS,S,Small,B0,Black/Orange,Pro Mens SS Top Small Black/Orange,B2C,19.63,46.74,true
ZCRTM-SS-S-CS,ZavaCore Field Pro,R,Top,Mens,SS,S,Small,CS,Charcoal/Silver,Pro Mens SS Top Small Charcoal/Silver,B2C,20.59,49.02,true
ZCRTM-LS-S-RR,ZavaCore Field Pro,R,Top,Mens,LS,S,Small,RR,Deep Red/Red,Pro Mens LS Top Small Deep Red/Red,B2C,19.86,47.29,true
ZCRTM-LS-S-T0,ZavaCore Field Pro,R,Top,Mens,LS,S,Small,T0,Teal/Orange,Pro Mens LS Top Small Teal/Orange,B2C,19.85,47.26,true
ZCRTM-SS-M-B0,ZavaCore Field Pro,R,Top,Mens,SS,M,Medium,B0,Black/Orange,Pro Mens SS Top Medium Black/Orange,B2C,19.12,45.53,true
ZCRTM-SS-M-CS,ZavaCore Field Pro,R,Top,Mens,SS,M,Medium,CS,Charcoal/Silver,Pro Mens SS Top Medium Charcoal/Silver,B2C,18.3,43.57,true
ZCRTM-LS-M-RR,ZavaCore Field Pro,R,Top,Mens,LS,M,Medium,RR,Deep Red/Red,Pro Mens LS Top Medium Deep Red/Red,B2C,20.34,48.42,true
ZCRTM-LS-M-T0,ZavaCore Field Pro,R,Top,Mens,LS,M,Medium,T0,Teal/Orange,Pro Mens LS Top Medium Teal/Orange,B2C,19.88,47.34,true
ZCRTM-SS-L-B0,ZavaCore Field Pro,R,Top,Mens,SS,L,Large,B0,Black/Orange,Pro Mens SS Top Large Black/Orange,B2C,19.96,47.53,true
ZCRTM-SS-L-CS,ZavaCore Field Pro,R,Top,Mens,SS,L,Large,CS,Charcoal/Silver,Pro Mens SS Top Large Charcoal/Silver,B2C,18.89,44.98,true
