sku,facility_code,on_hand,reserved,available,reorder_point,safety_stock,projected_stockout_days,status,bin_location
ZCCTM-LS-L-T0,FC-RNO,281,21,260,60,24,70,in stock,RNO-51-D
ZCCTM-LS-L-T0,FC-CMH,104,5,99,60,24,26,in stock,CMH-14-E
ZCCTM-SS-XL-B0,FC-MEM,114,6,108,80,32,19,in stock,MEM-13-D
ZCCTM-SS-XL-B0,FC-CLT,4,1,3,80,32,0,critical,CLT-44-A
ZCCTM-SS-XL-B0,FC-SEA,142,11,131,80,32,23,in stock,SEA-36-A
ZCCTM-SS-XL-B0,FC-DFW,29,2,27,80,32,4,low stock,DFW-32-A
ZCCTM-SS-XL-B0,FC-EWR,321,52,269,80,32,53,in stock,EWR-22-C
ZCCTM-SS-XL-B0,FC-RNO,240,3,237,80,32,40,in stock,RNO-28-D
ZCCTM-SS-XL-B0,FC-CMH,197,21,176,80,32,32,in stock,CMH-07-D
ZCCTM-SS-XL-CS,FC-MEM,345,9,336,80,32,57,in stock,MEM-58-C
ZCCTM-SS-XL-CS,FC-CLT,180,8,172,80,32,30,in stock,CLT-36-F
ZCCTM-SS-XL-CS,FC-SEA,50,1,49,80,32,8,low stock,SEA-30-F
ZCCTM-SS-XL-CS,FC-DFW,162,12,150,80,32,27,in stock,DFW-17-B
ZCCTM-SS-XL-CS,FC-EWR,288,25,263,80,32,48,in stock,EWR-52-B
ZCCTM-SS-XL-CS,FC-RNO,167,18,149,80,32,27,in stock,RNO-02-F
ZCCTM-SS-XL-CS,FC-CMH,169,0,169,80,32,28,in stock,CMH-34-F
ZCCTM-LS-XL-RR,FC-MEM,599,17,582,120,48,66,in stock,MEM-46-F
ZCCTM-LS-XL-RR,FC-CLT,443,19,424,120,48,49,in stock,CLT-02-F
ZCCTM-LS-XL-RR,FC-SEA,326,10,316,120,48,36,in stock,SEA-34-B
ZCCTM-LS-XL-RR,FC-DFW,474,3,471,120,48,52,in stock,DFW-51-F
ZCCTM-LS-XL-RR,FC-EWR,444,46,398,120,48,49,in stock,EWR-03-D
ZCCTM-LS-XL-RR,FC-RNO,20,0,20,120,48,2,critical,RNO-35-E
ZCCTM-LS-XL-RR,FC-CMH,404,57,347,120,48,44,in stock,CMH-01-C
ZCCTM-LS-XL-T0,FC-MEM,31,3,28,80,32,5,low stock,MEM-59-E
ZCCTM-LS-XL-T0,FC-CLT,3,0,3,80,32,0,critical,CLT-15-F
ZCCTM-LS-XL-T0,FC-SEA,255,11,244,80,32,42,in stock,SEA-25-E
ZCCTM-LS-XL-T0,FC-DFW,303,46,257,80,32,50,in stock,DFW-13-F
ZCCTM-LS-XL-T0,FC-EWR,151,14,137,80,32,25,in stock,EWR-26-F
ZCCTM-LS-XL-T0,FC-RNO,16,0,16,80,32,2,critical,RNO-07-F
ZCCTM-LS-XL-T0,FC-CMH,286,40,246,80,32,47,in stock,CMH-07-B
ZCCTW-SS-S-B0,FC-MEM,91,11,80,120,48,10,low stock,MEM-26-A
ZCCTW-SS-S-B0,FC-CLT,130,5,125,120,48,14,in stock,CLT-09-B
ZCCTW-SS-S-B0,FC-SEA,510,74,436,120,48,56,in stock,SEA-26-E
ZCCTW-SS-S-B0,FC-DFW,224,16,208,120,48,24,in stock,DFW-15-B
ZCCTW-SS-S-B0,FC-EWR,517,50,467,120,48,57,in stock,EWR-56-C
ZCCTW-SS-S-B0,FC-RNO,137,2,135,120,48,15,in stock,RNO-13-F
ZCCTW-SS-S-B0,FC-CMH,146,23,123,120,48,16,in stock,CMH-46-A
ZCCTW-SS-S-CS,FC-MEM,468,62,406,100,40,66,in stock,MEM-05-F
ZCCTW-SS-S-CS,FC-CLT,491,60,431,100,40,70,in stock,CLT-05-F
ZCCTW-SS-S-CS,FC-SEA,54,3,51,100,40,7,low stock,SEA-16-F
ZCCTW-SS-S-CS,FC-DFW,313,21,292,100,40,44,in stock,DFW-36-C
ZCCTW-SS-S-CS,FC-EWR,17,2,15,100,40,2,critical,EWR-27-E
ZCCTW-SS-S-CS,FC-RNO,3,1,2,100,40,0,critical,RNO-17-B
ZCCTW-SS-S-CS,FC-CMH,29,0,29,100,40,4,low stock,CMH-13-F
ZCCTW-LS-S-RR,FC-MEM,194,11,183,120,48,21,in stock,MEM-23-A
ZCCTW-LS-S-RR,FC-CLT,69,2,67,120,48,7,low stock,CLT-01-C
ZCCTW-LS-S-RR,FC-SEA,180,2,178,120,48,20,in stock,SEA-18-E
ZCCTW-LS-S-RR,FC-DFW,427,32,395,120,48,47,in stock,DFW-53-A
ZCCTW-LS-S-RR,FC-EWR,228,18,210,120,48,25,in stock,EWR-08-E
ZCCTW-LS-S-RR,FC-RNO,16,0,16,120,48,1,critical,RNO-52-B
ZCCTW-LS-S-RR,FC-CMH,326,47,279,120,48,36,in stock,CMH-41-A
ZCCTW-LS-S-T0,FC-MEM,271,8,263,80,32,45,in stock,MEM-47-A
ZCCTW-LS-S-T0,FC-CLT,146,5,141,80,32,24,in stock,CLT-12-B
ZCCTW-LS-S-T0,FC-SEA,347,56,291,80,32,57,in stock,SEA-43-F
ZCCTW-LS-S-T0,FC-DFW,330,50,280,80,32,55,in stock,DFW-58-E
ZCCTW-LS-S-T0,FC-EWR,282,2,280,80,32,47,in stock,EWR-19-F
ZCCTW-LS-S-T0,FC-RNO,9,0,9,80,32,1,critical,RNO-19-D
ZCCTW-LS-S-T0,FC-CMH,246,18,228,80,32,41,in stock,CMH-44-B
ZCCTW-SS-M-B0,FC-MEM,487,57,430,100,40,69,in stock,MEM-28-C
ZCCTW-SS-M-B0,FC-CLT,136,20,116,100,40,19,in stock,CLT-46-B
ZCCTW-SS-M-B0,FC-SEA,421,62,359,100,40,60,in stock,SEA-20-C
ZCCTW-SS-M-B0,FC-DFW,327,25,302,100,40,46,in stock,DFW-26-A
ZCCTW-SS-M-B0,FC-EWR,483,59,424,100,40,69,in stock,EWR-06-B
ZCCTW-SS-M-B0,FC-RNO,300,46,254,100,40,42,in stock,RNO-04-F
ZCCTW-SS-M-B0,FC-CMH,110,9,101,100,40,15,in stock,CMH-37-D
ZCCTW-SS-M-CS,FC-MEM,352,0,352,120,48,39,in stock,MEM-37-D
ZCCTW-SS-M-CS,FC-CLT,13,1,12,120,48,1,critical,CLT-45-B
ZCCTW-SS-M-CS,FC-SEA,380,59,321,120,48,42,in stock,SEA-60-F
ZCCTW-SS-M-CS,FC-DFW,319,34,285,120,48,35,in stock,DFW-55-D
ZCCTW-SS-M-CS,FC-EWR,125,19,106,120,48,13,in stock,EWR-49-E
ZCCTW-SS-M-CS,FC-RNO,250,18,232,120,48,27,in stock,RNO-26-E
ZCCTW-SS-M-CS,FC-CMH,537,5,532,120,48,59,in stock,CMH-57-B
ZCCTW-LS-M-RR,FC-MEM,46,5,41,40,16,15,in stock,MEM-27-E
ZCCTW-LS-M-RR,FC-CLT,72,6,66,40,16,24,in stock,CLT-25-F
ZCCTW-LS-M-RR,FC-SEA,162,10,152,40,16,54,in stock,SEA-25-E
ZCCTW-LS-M-RR,FC-DFW,137,11,126,40,16,45,in stock,DFW-06-D
ZCCTW-LS-M-RR,FC-EWR,179,1,178,40,16,59,in stock,EWR-32-E
ZCCTW-LS-M-RR,FC-RNO,51,3,48,40,16,17,in stock,RNO-37-D
ZCCTW-LS-M-RR,FC-CMH,19,0,19,40,16,6,low stock,CMH-38-F
ZCCTW-LS-M-T0,FC-MEM,346,26,320,120,48,38,in stock,MEM-37-C
ZCCTW-LS-M-T0,FC-CLT,586,91,495,120,48,65,in stock,CLT-40-D
ZCCTW-LS-M-T0,FC-SEA,24,0,24,120,48,2,critical,SEA-50-E
ZCCTW-LS-M-T0,FC-DFW,522,63,459,120,48,58,in stock,DFW-27-F
ZCCTW-LS-M-T0,FC-EWR,5,0,5,120,48,0,critical,EWR-11-A
ZCCTW-LS-M-T0,FC-RNO,128,2,126,120,48,14,in stock,RNO-41-D
ZCCTW-LS-M-T0,FC-CMH,194,16,178,120,48,21,in stock,CMH-20-B
ZCCTW-SS-L-B0,FC-MEM,364,9,355,100,40,52,in stock,MEM-04-F
ZCCTW-SS-L-B0,FC-CLT,178,8,170,100,40,25,in stock,CLT-55-C
ZCCTW-SS-L-B0,FC-SEA,79,12,67,100,40,11,low stock,SEA-29-C
ZCCTW-SS-L-B0,FC-DFW,297,17,280,100,40,42,in stock,DFW-14-B
ZCCTW-SS-L-B0,FC-EWR,157,13,144,100,40,22,in stock,EWR-45-D
ZCCTW-SS-L-B0,FC-RNO,329,38,291,100,40,47,in stock,RNO-11-A
ZCCTW-SS-L-B0,FC-CMH,457,47,410,100,40,65,in stock,CMH-54-B
ZCCTW-SS-L-CS,FC-MEM,228,19,209,80,32,38,in stock,MEM-29-F
ZCCTW-SS-L-CS,FC-CLT,281,28,253,80,32,46,in stock,CLT-09-F
ZCCTW-SS-L-CS,FC-SEA,168,2,166,80,32,28,in stock,SEA-35-E
ZCCTW-SS-L-CS,FC-DFW,187,13,174,80,32,31,in stock,DFW-11-A
ZCCTW-SS-L-CS,FC-EWR,71,11,60,80,32,11,low stock,EWR-26-E
ZCCTW-SS-L-CS,FC-RNO,382,20,362,80,32,63,in stock,RNO-57-B
ZCCTW-SS-L-CS,FC-CMH,125,7,118,80,32,20,in stock,CMH-34-B
ZCCTW-LS-L-RR,FC-MEM,180,5,175,120,48,20,in stock,MEM-57-E
ZCCTW-LS-L-RR,FC-CLT,595,62,533,120,48,66,in stock,CLT-06-C
ZCCTW-LS-L-RR,FC-SEA,577,85,492,120,48,64,in stock,SEA-09-F
ZCCTW-LS-L-RR,FC-DFW,437,47,390,120,48,48,in stock,DFW-10-E
ZCCTW-LS-L-RR,FC-EWR,86,4,82,120,48,9,low stock,EWR-11-C
ZCCTW-LS-L-RR,FC-RNO,284,31,253,120,48,31,in stock,RNO-37-E
ZCCTW-LS-L-RR,FC-CMH,36,3,33,120,48,4,low stock,CMH-45-D
ZCCTW-LS-L-T0,FC-MEM,61,2,59,100,40,8,low stock,MEM-28-A
ZCCTW-LS-L-T0,FC-CLT,468,33,435,100,40,66,in stock,CLT-21-A
ZCCTW-LS-L-T0,FC-SEA,136,2,134,100,40,19,in stock,SEA-19-C
ZCCTW-LS-L-T0,FC-DFW,486,36,450,100,40,69,in stock,DFW-27-A
ZCCTW-LS-L-T0,FC-EWR,393,55,338,100,40,56,in stock,EWR-24-F
ZCCTW-LS-L-T0,FC-RNO,268,2,266,100,40,38,in stock,RNO-02-D
ZCCTW-LS-L-T0,FC-CMH,464,66,398,100,40,66,in stock,CMH-21-A
ZCCTW-SS-XL-B0,FC-MEM,179,3,176,40,16,59,in stock,MEM-01-A
ZCCTW-SS-XL-B0,FC-CLT,23,0,23,40,16,7,low stock,CLT-52-C
ZCCTW-SS-XL-B0,FC-SEA,106,0,106,40,16,35,in stock,SEA-36-F
ZCCTW-SS-XL-B0,FC-DFW,158,16,142,40,16,52,in stock,DFW-47-A
ZCCTW-SS-XL-B0,FC-EWR,199,26,173,40,16,66,in stock,EWR-05-A
ZCCTW-SS-XL-B0,FC-RNO,1,1,0,40,16,0,critical,RNO-46-C
ZCCTW-SS-XL-B0,FC-CMH,119,12,107,40,16,39,in stock,CMH-05-C
ZCCTW-SS-XL-CS,FC-MEM,34,3,31,60,24,8,low stock,MEM-23-F
ZCCTW-SS-XL-CS,FC-CLT,218,8,210,60,24,54,in stock,CLT-49-A
ZCCTW-SS-XL-CS,FC-SEA,2,1,1,60,24,0,critical,SEA-19-E
ZCCTW-SS-XL-CS,FC-DFW,69,10,59,60,24,17,in stock,DFW-40-B
ZCCTW-SS-XL-CS,FC-EWR,275,4,271,60,24,68,in stock,EWR-36-F
ZCCTW-SS-XL-CS,FC-RNO,271,3,268,60,24,67,in stock,RNO-19-E
ZCCTW-SS-XL-CS,FC-CMH,123,2,121,60,24,30,in stock,CMH-51-C
ZCCTW-LS-XL-RR,FC-MEM,86,10,76,120,48,9,low stock,MEM-15-B
ZCCTW-LS-XL-RR,FC-CLT,450,72,378,120,48,50,in stock,CLT-49-D
ZCCTW-LS-XL-RR,FC-SEA,557,12,545,120,48,61,in stock,SEA-27-E
ZCCTW-LS-XL-RR,FC-DFW,267,9,258,120,48,29,in stock,DFW-18-D
ZCCTW-LS-XL-RR,FC-EWR,581,92,489,120,48,64,in stock,EWR-33-A
ZCCTW-LS-XL-RR,FC-RNO,256,38,218,120,48,28,in stock,RNO-33-A
ZCCTW-LS-XL-RR,FC-CMH,309,23,286,120,48,34,in stock,CMH-34-C
ZCCTW-LS-XL-T0,FC-MEM,75,12,63,40,16,25,in stock,MEM-21-B
ZCCTW-LS-XL-T0,FC-CLT,122,13,109,40,16,40,in stock,CLT-05-E
ZCCTW-LS-XL-T0,FC-SEA,147,22,125,40,16,49,in stock,SEA-14-C
ZCCTW-LS-XL-T0,FC-DFW,5,1,4,40,16,1,critical,DFW-06-B
ZCCTW-LS-XL-T0,FC-EWR,132,0,132,40,16,44,in stock,EWR-27-E
ZCCTW-LS-XL-T0,FC-RNO,80,6,74,40,16,26,in stock,RNO-42-D
ZCCTW-LS-XL-T0,FC-CMH,178,21,157,40,16,59,in stock,CMH-08-F
ZCCTY-SS-S-B0,FC-MEM,207,15,192,100,40,29,in stock,MEM-05-D
ZCCTY-SS-S-B0,FC-CLT,141,8,133,100,40,20,in stock,CLT-15-F
ZCCTY-SS-S-B0,FC-SEA,8,1,7,100,40,1,critical,SEA-29-D
ZCCTY-SS-S-B0,FC-DFW,444,71,373,100,40,63,in stock,DFW-34-F
ZCCTY-SS-S-B0,FC-EWR,390,9,381,100,40,55,in stock,EWR-35-A
ZCCTY-SS-S-B0,FC-RNO,456,34,422,100,40,65,in stock,RNO-05-E
ZCCTY-SS-S-B0,FC-CMH,134,7,127,100,40,19,in stock,CMH-42-F
ZCCTY-SS-S-CS,FC-MEM,318,39,279,100,40,45,in stock,MEM-41-C
ZCCTY-SS-S-CS,FC-CLT,216,6,210,100,40,30,in stock,CLT-18-B
ZCCTY-SS-S-CS,FC-SEA,451,46,405,100,40,64,in stock,SEA-18-F
ZCCTY-SS-S-CS,FC-DFW,488,14,474,100,40,69,in stock,DFW-33-A
ZCCTY-SS-S-CS,FC-EWR,490,44,446,100,40,70,in stock,EWR-25-D
ZCCTY-SS-S-CS,FC-RNO,353,9,344,100,40,50,in stock,RNO-45-C
ZCCTY-SS-S-CS,FC-CMH,304,18,286,100,40,43,in stock,CMH-05-B
ZCCTY-LS-S-RR,FC-MEM,43,2,41,40,16,14,in stock,MEM-33-C
ZCCTY-LS-S-RR,FC-CLT,72,10,62,40,16,24,in stock,CLT-22-E
ZCCTY-LS-S-RR,FC-SEA,2,1,1,40,16,0,critical,SEA-58-F
ZCCTY-LS-S-RR,FC-DFW,197,28,169,40,16,65,in stock,DFW-35-A
ZCCTY-LS-S-RR,FC-EWR,136,16,120,40,16,45,in stock,EWR-33-D
ZCCTY-LS-S-RR,FC-RNO,186,25,161,40,16,62,in stock,RNO-50-F
ZCCTY-LS-S-RR,FC-CMH,37,4,33,40,16,12,low stock,CMH-56-F
ZCCTY-LS-S-T0,FC-MEM,351,21,330,100,40,50,in stock,MEM-27-D
ZCCTY-LS-S-T0,FC-CLT,11,1,10,100,40,1,critical,CLT-49-C
ZCCTY-LS-S-T0,FC-SEA,197,26,171,100,40,28,in stock,SEA-32-A
ZCCTY-LS-S-T0,FC-DFW,470,63,407,100,40,67,in stock,DFW-33-C
ZCCTY-LS-S-T0,FC-EWR,70,2,68,100,40,10,low stock,EWR-17-C
ZCCTY-LS-S-T0,FC-RNO,333,4,329,100,40,47,in stock,RNO-32-D
ZCCTY-LS-S-T0,FC-CMH,202,26,176,100,40,28,in stock,CMH-41-C
ZCCTY-SS-M-B0,FC-MEM,6,0,6,120,48,0,critical,MEM-01-A
ZCCTY-SS-M-B0,FC-CLT,346,10,336,120,48,38,in stock,CLT-54-B
ZCCTY-SS-M-B0,FC-SEA,224,20,204,120,48,24,in stock,SEA-30-C
ZCCTY-SS-M-B0,FC-DFW,16,0,16,120,48,1,critical,DFW-31-D
ZCCTY-SS-M-B0,FC-EWR,528,43,485,120,48,58,in stock,EWR-45-C
ZCCTY-SS-M-B0,FC-RNO,420,11,409,120,48,46,in stock,RNO-02-A
ZCCTY-SS-M-B0,FC-CMH,561,49,512,120,48,62,in stock,CMH-38-E
ZCCTY-SS-M-CS,FC-MEM,98,6,92,100,40,14,low stock,MEM-48-F
ZCCTY-SS-M-CS,FC-CLT,197,8,189,100,40,28,in stock,CLT-29-A
ZCCTY-SS-M-CS,FC-SEA,243,20,223,100,40,34,in stock,SEA-50-A
ZCCTY-SS-M-CS,FC-DFW,240,13,227,100,40,34,in stock,DFW-21-A
ZCCTY-SS-M-CS,FC-EWR,93,6,87,100,40,13,low stock,EWR-32-F
ZCCTY-SS-M-CS,FC-RNO,196,25,171,100,40,28,in stock,RNO-26-D
ZCCTY-SS-M-CS,FC-CMH,456,39,417,100,40,65,in stock,CMH-31-A
ZCCTY-LS-M-RR,FC-MEM,319,12,307,80,32,53,in stock,MEM-09-B
ZCCTY-LS-M-RR,FC-CLT,50,5,45,80,32,8,low stock,CLT-09-E
ZCCTY-LS-M-RR,FC-SEA,329,30,299,80,32,54,in stock,SEA-08-B
ZCCTY-LS-M-RR,FC-DFW,73,4,69,80,32,12,low stock,DFW-17-A
ZCCTY-LS-M-RR,FC-EWR,100,13,87,80,32,16,in stock,EWR-18-B
ZCCTY-LS-M-RR,FC-RNO,238,13,225,80,32,39,in stock,RNO-54-A
ZCCTY-LS-M-RR,FC-CMH,188,12,176,80,32,31,in stock,CMH-22-E
ZCCTY-LS-M-T0,FC-MEM,89,14,75,120,48,9,low stock,MEM-49-B
ZCCTY-LS-M-T0,FC-CLT,171,20,151,120,48,19,in stock,CLT-19-F
ZCCTY-LS-M-T0,FC-SEA,290,30,260,120,48,32,in stock,SEA-19-C
ZCCTY-LS-M-T0,FC-DFW,10,1,9,120,48,1,critical,DFW-26-B
ZCCTY-LS-M-T0,FC-EWR,361,4,357,120,48,40,in stock,EWR-09-C
ZCCTY-LS-M-T0,FC-RNO,196,1,195,120,48,21,in stock,RNO-52-F
ZCCTY-LS-M-T0,FC-CMH,445,18,427,120,48,49,in stock,CMH-26-C
ZCCTY-SS-L-B0,FC-MEM,140,21,119,100,40,20,in stock,MEM-44-F
ZCCTY-SS-L-B0,FC-CLT,301,39,262,100,40,43,in stock,CLT-22-E
ZCCTY-SS-L-B0,FC-SEA,482,78,404,100,40,68,in stock,SEA-59-A
ZCCTY-SS-L-B0,FC-DFW,29,0,29,100,40,4,low stock,DFW-46-C
ZCCTY-SS-L-B0,FC-EWR,70,5,65,100,40,10,low stock,EWR-48-E
ZCCTY-SS-L-B0,FC-RNO,110,10,100,100,40,15,in stock,RNO-23-A
ZCCTY-SS-L-B0,FC-CMH,422,65,357,100,40,60,in stock,CMH-15-A
ZCCTY-SS-L-CS,FC-MEM,1,1,0,80,32,0,critical,MEM-05-C
ZCCTY-SS-L-CS,FC-CLT,247,23,224,80,32,41,in stock,CLT-22-D
ZCCTY-SS-L-CS,FC-SEA,166,6,160,80,32,27,in stock,SEA-55-C
ZCCTY-SS-L-CS,FC-DFW,347,14,333,80,32,57,in stock,DFW-04-B
ZCCTY-SS-L-CS,FC-EWR,59,4,55,80,32,9,low stock,EWR-40-A
ZCCTY-SS-L-CS,FC-RNO,347,10,337,80,32,57,in stock,RNO-15-B
ZCCTY-SS-L-CS,FC-CMH,216,13,203,80,32,36,in stock,CMH-01-C
ZCCTY-LS-L-RR,FC-MEM,191,0,191,40,16,63,in stock,MEM-45-D
ZCCTY-LS-L-RR,FC-CLT,16,0,16,40,16,5,low stock,CLT-52-D
ZCCTY-LS-L-RR,FC-SEA,99,10,89,40,16,33,in stock,SEA-20-E
ZCCTY-LS-L-RR,FC-DFW,107,9,98,40,16,35,in stock,DFW-32-C
ZCCTY-LS-L-RR,FC-EWR,129,2,127,40,16,43,in stock,EWR-39-E
ZCCTY-LS-L-RR,FC-RNO,132,19,113,40,16,44,in stock,RNO-41-B
ZCCTY-LS-L-RR,FC-CMH,82,9,73,40,16,27,in stock,CMH-58-E
